Index	Red	Green	Blue
0	0	0	255
1	252	252	244
2	252	252	244
3	252	252	240
4	252	252	236
5	252	252	236
6	252	252	232
7	252	252	228
8	252	252	228
9	252	252	224
10	252	252	220
11	252	252	220
12	252	252	216
13	252	252	212
14	252	252	212
15	252	252	208
16	252	252	208
17	252	252	204
18	252	248	200
19	252	248	200
20	252	248	196
21	252	248	192
22	252	248	192
23	252	248	188
24	252	248	188
25	252	248	184
26	252	244	180
27	252	244	180
28	252	244	176
29	252	244	172
30	252	244	172
31	252	244	168
32	252	240	168
33	252	240	164
34	252	240	160
35	252	240	160
36	252	240	156
37	252	240	156
38	252	236	152
39	252	236	148
40	252	236	148
41	252	236	144
42	252	232	144
43	252	232	140
44	248	232	136
45	248	232	136
46	248	228	132
47	248	228	128
48	248	228	128
49	248	228	124
50	248	224	124
51	248	224	120
52	248	224	120
53	248	224	116
54	248	220	112
55	248	220	112
56	248	220	108
57	248	216	108
58	248	216	104
59	248	216	104
60	248	212	100
61	248	212	96
62	248	212	96
63	245	209	93
64	244	208	92
65	244	208	89
66	244	205	88
67	244	204	85
68	244	204	84
69	244	201	81
70	244	200	80
71	244	200	77
72	244	194	76
73	244	192	73
74	244	192	72
75	244	192	69
76	241	192	68
77	240	189	65
78	240	188	64
79	240	188	61
80	240	185	60
81	240	184	60
82	240	181	57
83	240	180	56
84	240	180	53
85	240	177	52
86	240	176	52
87	237	173	49
88	236	172	48
89	236	172	48
90	236	169	45
91	236	168	44
92	236	165	44
93	236	164	41
94	236	161	40
95	236	160	40
96	236	160	40
97	233	157	37
98	232	156	36
99	232	153	36
100	232	152	36
101	232	149	33
102	232	148	32
103	232	145	32
104	232	144	32
105	229	144	32
106	228	141	29
107	228	140	28
108	228	137	28
109	228	136	28
110	228	133	28
111	228	132	25
112	228	129	24
113	225	128	24
114	224	125	24
115	224	124	24
116	224	121	24
117	224	120	24
118	224	117	24
119	224	116	21
120	221	113	20
121	220	112	20
122	220	109	20
123	220	108	20
124	220	105	20
125	220	104	20
126	220	101	20
127	218	100	20
128	216	98	20
129	216	96	20
130	216	94	20
131	216	92	20
132	214	90	20
133	212	88	20
134	212	86	20
135	212	84	20
136	212	82	20
137	210	80	20
138	208	78	20
139	208	76	20
140	208	74	20
141	208	72	20
142	206	70	20
143	204	68	20
144	204	68	20
145	202	66	20
146	200	64	20
147	200	62	20
148	200	60	20
149	198	60	20
150	196	58	20
151	196	56	20
152	194	54	20
153	192	52	20
154	192	52	20
155	192	50	20
156	190	48	20
157	188	48	20
158	188	46	20
159	186	44	20
160	184	44	20
161	182	42	20
162	180	40	20
163	180	40	20
164	178	38	20
165	176	36	20
166	176	36	20
167	174	36	20
168	172	34	20
169	170	32	20
170	168	32	20
171	168	32	20
172	166	30	20
173	164	28	20
174	162	28	20
175	160	28	20
176	158	26	20
177	156	24	20
178	156	24	20
179	154	24	20
180	152	24	20
181	150	22	20
182	148	20	20
183	146	20	20
184	144	20	20
185	142	20	20
186	140	18	20
187	138	16	20
188	136	16	20
189	134	16	20
190	132	16	20
191	131	16	19
192	128	16	16
193	127	15	16
194	124	12	16
195	123	12	16
196	119	12	16
197	116	12	16
198	115	12	16
199	112	12	16
200	111	12	16
201	108	12	16
202	107	11	16
203	104	8	16
204	103	8	16
205	100	8	16
206	99	8	16
207	96	8	16
208	95	8	16
209	92	8	16
210	91	8	16
211	88	7	16
212	87	4	16
213	84	4	16
214	83	4	16
215	80	4	16
216	79	4	16
217	75	4	16
218	72	4	16
219	71	4	15
220	68	4	12
221	67	4	12
222	64	4	12
223	63	4	12
224	60	3	12
225	59	0	12
226	56	0	12
227	55	0	12
228	52	0	12
229	51	0	12
230	48	0	12
231	47	0	11
232	44	0	8
233	43	0	8
234	40	0	8
235	39	0	8
236	36	0	8
237	35	0	8
238	32	0	8
239	31	0	8
240	28	0	7
241	27	0	4
242	24	0	4
243	23	0	4
244	20	0	4
245	19	0	4
246	16	0	4
247	15	0	4
248	12	0	3
249	11	0	0
250	8	0	0
251	7	0	0
252	4	0	0
253	3	0	0
254	0	0	0
255	0	255	0
